module_name,variable_name,update_type,recommended_action,priority,reason,code_files,notes
assets,asset_status,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,components\assets\AssetForm.jsx | lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief | status_field
assets,assets,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js,implemented_contract_not_documented_in_brief
assets,assets_benchmark_total,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | lib\reconciliation\reconciliationRules.js | lib\selectors\assetSelectors.js | lib\storage\assetStorage.js,implemented_contract_not_documented_in_brief
assets,assets_output,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,components\model-readiness\ModelReadinessAuditPanel.jsx,implemented_contract_not_documented_in_brief
assets,assigned_asset_overhead_cost,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,assigned_asset_overhead_cost_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,base_asset_cost_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,build_asset_recovery_overlay,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js,implemented_contract_not_documented_in_brief
assets,default_recovery_hours,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js,implemented_contract_not_documented_in_brief
assets,excluded_asset_finance_interest_total,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief
assets,general_overheads,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js,implemented_contract_not_documented_in_brief
assets,has_productive_asset_recovery_base,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\recoverySummarySelectors.js,implemented_contract_not_documented_in_brief
assets,live_assets,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js,implemented_contract_not_documented_in_brief
assets,no_active_assets_confirmed,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | lib\reconciliation\reconciliationRules.js | lib\selectors\assetSelectors.js | lib\storage\assetStorage.js,implemented_contract_not_documented_in_brief
assets,output_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js,implemented_contract_not_documented_in_brief
assets,productive_asset_cost,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useBusinessSummary.js | hooks\useCostAllocation.js | hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,productive_asset_recovery_cost_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,recovery_hours_used,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js,implemented_contract_not_documented_in_brief
assets,safe_array,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js,implemented_contract_not_documented_in_brief
assets,safe_number,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js,implemented_contract_not_documented_in_brief
assets,saved_assets,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | lib\selectors\assetSelectors.js,implemented_contract_not_documented_in_brief
assets,support_asset_cost,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useBusinessSummary.js | hooks\useCostAllocation.js | hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,support_asset_count,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,total_allocated_asset_overhead_cost_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,total_asset_interest_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js | lib\reconciliation\reconciliationRules.js,implemented_contract_not_documented_in_brief
assets,total_asset_recovery_cost_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,total_general_overheads_before_asset_assignment,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
assets,total_unassigned_asset_related_overhead_cost_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js,implemented_contract_not_documented_in_brief
business-modelling,active_scenario,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | lib\selectors\businessModellingSelectors.js,implemented_contract_not_documented_in_brief
business-modelling,baseline,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,baseline_snapshot,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\storage\businessModellingStorage.js,implemented_contract_not_documented_in_brief
business-modelling,blocked,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessModellingSelectors.js,implemented_contract_not_documented_in_brief
business-modelling,business_modelling_state,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,current_margin_per_productive_hour,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,has_baseline,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,modelling_ready,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,app\business-modelling\page.jsx | hooks\useBusinessModelling.js | lib\selectors\businessModellingSelectors.js,implemented_contract_not_documented_in_brief | readiness_field
business-modelling,output_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,recovery_gap_per_hour,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,app\business-modelling\page.jsx | components\business-modelling\BusinessModellingBaselineCard.jsx | hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessModellingSelectors.js,implemented_contract_not_documented_in_brief
business-modelling,summaryBlocked,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,summaryWarnings,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,summary_status,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief | status_field
business-modelling,total_available_hours_before_productivity,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,total_revenue,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-modelling,weighted_productivity_percent,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-setup,business_setup_output_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useRevenueCogs.js | hooks\useRevenueReality.js,implemented_contract_not_documented_in_brief
business-setup,business_setup_state,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSetup.js,implemented_contract_not_documented_in_brief
business-setup,output_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSetup.js,implemented_contract_not_documented_in_brief
business-summary,business_recovery_hours,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,business_summary,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js | hooks\useRevenueReality.js | lib\recovery\recoveryRiskWarningSystem.js,implemented_contract_not_documented_in_brief
business-summary,business_summary_output_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | hooks\useQuoteEngine.js | hooks\useRevenueReality.js | lib\calculations\quoteEngineCalculations.js,implemented_contract_not_documented_in_brief
business-summary,business_summary_outputs,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useRecoverySummary.js,implemented_contract_not_documented_in_brief
business-summary,business_summary_usable,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,implemented_contract_not_documented_in_brief
business-summary,business_summary_warnings,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,app\business-summary\page.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\quoteEngineSelectors.js,implemented_contract_not_documented_in_brief | warnings_field
business-summary,business_type,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,calculations,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,cost_burden_breakdown,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,is_product_based,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,app\business-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | hooks\useBusinessSummary.js | lib\calculations\businessSummaryCalculations.js | lib\selectors\businessSummarySelectors.js,implemented_contract_not_documented_in_brief | readiness_field
business-summary,margin_pool,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,components\recovery-summary\main-card\RecoveryOutcomeDetail.jsx | components\recovery-summary\main-card\recoverySummaryWarningHelpers.js | components\recovery-summary\recoverySummaryWarningDetails.js | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useRevenueReality.js | lib\calculations\recoverySummaryCalculations.js | lib\recovery\recoveryRiskWarningSystem.js | lib\selectors\businessSummarySelectors.js,implemented_contract_not_documented_in_brief
business-summary,net_position,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,components\recovery-summary\recoverySummaryWarningDetails.js | hooks\useBusinessModelling.js | lib\calculations\recoveryOutcomeCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\businessSummarySelectors.js,implemented_contract_not_documented_in_brief
business-summary,operating_recovery_hours,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,output_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,people,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,product_based,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,ready,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js,implemented_contract_not_documented_in_brief
business-summary,recovery_hours_used,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js,implemented_contract_not_documented_in_brief
business-summary,total_available_hours_before_productivity,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,total_recovery_hours,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
business-summary,total_revenue,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js,implemented_contract_not_documented_in_brief
business-summary,units_sold_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js,implemented_contract_not_documented_in_brief
business-summary,weighted_productivity_percent,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,implemented_contract_not_documented_in_brief
cost-allocation,base_calculation_inputs,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js,implemented_contract_not_documented_in_brief
cost-allocation,build_cost_allocation_output_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useCostAllocation.js,implemented_contract_not_documented_in_brief
cost-allocation,cost_allocation,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,app\recovery-outcome\page.jsx | components\rate-builder\RateBuilderLineCalculator.jsx | hooks\useRecoveryOutcome.js | lib\calculations\recoveryOutcomeCalculations.js | lib\recovery\recoveryRiskWarningSystem.js,implemented_contract_not_documented_in_brief
cost-allocation,cost_allocation_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,app\recovery-outcome\page.jsx,implemented_contract_not_documented_in_brief
cost-allocation,fallback_recovery_summary,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js,implemented_contract_not_documented_in_brief
cost-allocation,output_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js,implemented_contract_not_documented_in_brief
cost-allocation,recovery_hours_used,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js,implemented_contract_not_documented_in_brief
cost-allocation,recovery_outputs,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\calculations\cost-allocation\costAllocationInputBuilder.js,implemented_contract_not_documented_in_brief
cost-allocation,recovery_summary,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js,implemented_contract_not_documented_in_brief
cost-summary,category_totals,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
cost-summary,cost_summary,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | hooks\useRevenueSummary.js | lib\audit\buildLiveAuditSnapshotExport.js,implemented_contract_not_documented_in_brief
cost-summary,cost_summary_output_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | lib\calculations\quoteEngineCalculations.js,implemented_contract_not_documented_in_brief
cost-summary,cost_summary_outputs,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useRevenueSummary.js,implemented_contract_not_documented_in_brief
cost-summary,cost_summary_ready,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js,implemented_contract_not_documented_in_brief | readiness_field
cost-summary,employer_contribution_totals,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
cost-summary,entitlement_totals,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
cost-summary,finance_cost_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
cost-summary,legacy_display,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
cost-summary,output_contract,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js | lib\selectors\costSummarySelectors.js,implemented_contract_not_documented_in_brief
cost-summary,required_recovery_rate,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | lib\calculations\quoteEngineCalculations.js | lib\recovery\recoveryRiskWarningSystem.js | lib\selectors\quoteEngineSelectors.js,implemented_contract_not_documented_in_brief
cost-summary,running_cost_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
cost-summary,total_available_hours_before_productivity,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\selectors\costSummarySelectors.js,implemented_contract_not_documented_in_brief
cost-summary,total_business_cost_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,implemented_contract_not_documented_in_brief
cost-summary,total_people_cost_annual,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useRevenueReality.js | lib\audit\buildLiveAuditSnapshotExport.js | lib\calculations\quoteEngineCalculations.js | lib\calculations\recoverySummaryCalculations.js,implemented_contract_not_documented_in_brief
cost-summary,total_recovery_hours,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\selectors\costSummarySelectors.js,implemented_contract_not_documented_in_brief
cost-summary,weighted_productivity_percent,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js | lib\selectors\costSummarySelectors.js,implemented_contract_not_documented_in_brief
general-overheads,actions,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useGeneralOverheads.js,implemented_contract_not_documented_in_brief
general-overheads,allocation_outputs,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useGeneralOverheads.js,implemented_contract_not_documented_in_brief
general-overheads,build_general_overhead_allocation_outputs,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useGeneralOverheads.js,implemented_contract_not_documented_in_brief
general-overheads,current_overhead_state,add_implemented_output_contract_to_brief,add_to_v5_module_brief,P1,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useGeneralOverheads.js,implemented_contract_not_documented_in_brief
