"module_name","variable_name","current_audit_status","classification","recommended_action","classification_reason","code_files","notes"
"labour","build_productive_labour_type_rows","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","build_support_labour_type_rows","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","get_nested_value","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js","implemented_contract_not_documented_in_brief"
"labour","safe_array","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_general_overheads_from_pnl","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_pnl_sync_signature","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_reconciliation","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_unassigned_details","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_warnings","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief | warnings_field"
"p-and-l","format_number","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","Field appears to be an internal helper, utility, formatter, selector helper, or builder function.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","good","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","Field appears to be a UI display/status presentation token rather than a module output contract.","components\p-and-l\ProfitAndLossStatusStrip.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","label","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","Field appears to be a UI display/status presentation token rather than a module output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","Ready","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","Field appears to be a UI display/status presentation token rather than a module output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","tone","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","Field appears to be a UI display/status presentation token rather than a module output contract.","components\p-and-l\ProfitAndLossProgressPanel.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","value","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","Field appears to be a UI display/status presentation token rather than a module output contract.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","warn","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","Field appears to be a UI display/status presentation token rather than a module output contract.","components\p-and-l\ProfitAndLossStatusStrip.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
